listing_id,description,room_type,price,nbhood_full,host_name,last_review,month,price_per_month
2595,Skylit Midtown Castle,entire home/apt,225,"Manhattan, Midtown",Jennifer,2019-05-21,5,6862.5
3831,Cozy Entire Floor of Brownstone,entire home/apt,89,"Brooklyn, Clinton Hill",LisaRoxanne,2019-07-05,7,2714.5
5099,Large Cozy 1 BR Apartment In Midtown East,entire home/apt,200,"Manhattan, Murray Hill",Chris,2019-06-22,6,6100.0
5178,Large Furnished Room Near B'way,private room,79,"Manhattan, Hell's Kitchen",Shunichi,2019-06-24,6,2409.5
5238,Cute & Cozy Lower East Side 1 bdrm,entire home/apt,150,"Manhattan, Chinatown",Ben,2019-06-09,6,4575.0
5295,Beautiful 1br on Upper West Side,entire home/apt,135,"Manhattan, Upper West Side",Lena,2019-06-22,6,4117.5
5441,Central Manhattan/near Broadway,private room,85,"Manhattan, Hell's Kitchen",Kate,2019-06-23,6,2592.5
5803,"Lovely Room 1, Garden, Best Area, Legal rental",private room,89,"Brooklyn, South Slope",Laurie,2019-06-24,6,2714.5
6021,Wonderful Guest Bedroom in Manhattan for SINGLES,private room,85,"Manhattan, Upper West Side",Claudio,2019-07-05,7,2592.5
6848,Only 2 stops to Manhattan studio,entire home/apt,140,"Brooklyn, Williamsburg",Allen & Irina,2019-06-29,6,4270.0
7097,Perfect for Your Parents + Garden,entire home/apt,215,"Brooklyn, Fort Greene",Jane,2019-06-28,6,6557.5
7322,Chelsea Perfect,private room,140,"Manhattan, Chelsea",Doti,2019-07-01,7,4270.0
7726,Hip Historic Brownstone Apartment with Backyard,entire home/apt,99,"Brooklyn, Crown Heights",Adam And Charity,2019-06-22,6,3019.5
8024,CBG CtyBGd HelpsHaiti rm#1:1-4,private room,130,"Brooklyn, Park Slope",Lisel,2019-07-01,7,3965.0
8025,CBG Helps Haiti Room#2.5,private room,80,"Brooklyn, Park Slope",Lisel,2019-01-01,1,2440.0
8110,CBG Helps Haiti Rm #2,private room,110,"Brooklyn, Park Slope",Lisel,2019-07-02,7,3355.0
8490,"MAISON DES SIRENES1,bohemian apartment",entire home/apt,120,"Brooklyn, Bedford-Stuyvesant",Nathalie,2019-06-19,6,3660.0
8505,Sunny Bedroom Across Prospect Park,private room,60,"Brooklyn, Windsor Terrace",Gregory,2019-06-23,6,1830.0
9518,"SPACIOUS, LOVELY FURNISHED MANHATTAN BEDROOM",private room,44,"Manhattan, Inwood",Shon,2019-06-15,6,1342.0
9657,Modern 1 BR / NYC / EAST VILLAGE,entire home/apt,180,"Manhattan, East Village",Dana,2019-04-19,4,5490.0
9668,front room/double bed,private room,50,"Manhattan, Harlem",Ssameer Or Trip,2019-06-01,6,1525.0
9704,Spacious 1 bedroom in luxe building,private room,52,"Manhattan, Harlem",Teri,2019-06-14,6,1586.0
9782,Loft in Williamsburg Area w/ Roof,private room,55,"Brooklyn, Greenpoint",Andrea,2019-06-15,6,1677.5
9783,back room/bunk beds,private room,50,"Manhattan, Harlem",Ssameer Or Trip,2019-07-01,7,1525.0
10452,Large B&B Style rooms,private room,70,"Brooklyn, Bedford-Stuyvesant",Angela,2019-05-12,5,2135.0
10962,"Lovely room 2 & garden; Best area, Legal rental",private room,89,"Brooklyn, South Slope",Laurie,2019-06-21,6,2714.5
11708,Cute apt in artist's home,entire home/apt,85,"Brooklyn, Bushwick",Tyrome,2019-06-22,6,2592.5
12048,LowerEastSide apt share shortterm 1,shared room,40,"Manhattan, Lower East Side",Ben,2019-07-05,7,1220.0
